epoch,loss_avg,loss_value,reconstruction_loss_avg,reconstruction_loss_val,distillation_loss_avg,distillation_loss_val,batch_time_avg,batch_time_val,memory_used,eta,epoch_time
0,-0.718872534386351,-0.7592465877532959,0.23576708468239618,0.1872256100177765,-0.9546396196696862,-0.9464722275733948,0.027312910276000454,0.02624988555908203,6291.45947265625,0.6281969363480104,39.23853802680969
1,-0.7362184285436844,-0.7746291160583496,0.22358404590264974,0.17927241325378418,-0.9598024738932575,-0.9539015293121338,0.027386995148097167,0.02731943130493164,6311.18798828125,0.6299008884062348,39.35987305641174
2,-0.74916293946953,-0.7883975505828857,0.21474567659832086,0.1708557903766632,-0.9639086165996554,-0.9592533707618713,0.027538568611063335,0.026250362396240234,6325.5673828125,0.6333870780544567,39.557607650756836
3,-0.7575824285812841,-0.7910110950469971,0.20977044556499974,0.17216576635837555,-0.9673528738484733,-0.9631768465042114,0.027484160334105834,0.026743412017822266,6325.5673828125,0.6321356876844342,39.487202405929565
4,-0.7631852637436627,-0.8044075965881348,0.20711725273254,0.16466252505779266,-0.9703025171196861,-0.9690701365470886,0.02755852684984881,0.02615523338317871,6325.5673828125,0.6338461175465226,39.589051961898804
5,-0.7700166384038715,-0.8119785785675049,0.20308496605745815,0.16222241520881653,-0.9731016035678981,-0.974200963973999,0.027625190284233447,0.026218414306640625,6325.607421875,0.6353793765373693,39.688918590545654
6,-0.7761212221475093,-0.81885826587677,0.19945638802841167,0.15848970413208008,-0.9755776105481841,-0.9773479700088501,0.027680978019436624,0.026160478591918945,6325.607421875,0.6366624944470424,39.768314361572266
6,-0.7762930876097451,-0.8141259551048279,0.19923762115068216,0.16394972801208496,-0.9755307088827423,-0.9780756831169128,0.027437801619753677,0.02628469467163086,6282.70849609375,0.6310694372543346,39.437164306640625
7,-0.7798169582848206,-0.8193823099136353,0.19810195658076754,0.16012141108512878,-0.9779189146050039,-0.9795036911964417,0.027494898529924042,0.026246309280395508,6297.58203125,0.632382666188253,39.50912094116211
8,-0.7840856289880604,-0.823264479637146,0.19531625026915433,0.15696564316749573,-0.979401878932814,-0.9802300930023193,0.02750932396011298,0.026241779327392578,6309.890625,0.6327144510825986,39.52958130836487
9,-0.7875082624715877,-0.8235591650009155,0.19372057949832983,0.15938925743103027,-0.9812288418741927,-0.9829484224319458,0.02771632165929235,0.026248455047607422,6309.890625,0.637475398163724,39.81940484046936
10,-0.7906658944276977,-0.8302631974220276,0.19191611075852277,0.15368227660655975,-0.9825820044310581,-0.9839454889297485,0.02765387113735899,0.026215076446533203,6309.890625,0.6360390361592567,39.73469638824463
11,-0.7921601458586258,-0.8300901651382446,0.19135931499041803,0.1545296013355255,-0.9835194619020167,-0.9846197962760925,0.027542953572896104,0.026266813278198242,6311.40576171875,0.6334879321766104,39.57673740386963
12,-0.7935920972895572,-0.8301577568054199,0.19107167850874052,0.15522398054599762,-0.9846637751867224,-0.9853817224502563,0.027536236159210966,0.02624344825744629,6311.40576171875,0.6333334316618522,39.57254338264465
13,-0.7961452826272581,-0.8335391879081726,0.18886219215533462,0.15306933224201202,-0.9850074759047003,-0.9866085052490234,0.02772557624827786,0.026253223419189453,6311.40576171875,0.6376882537103907,39.84407019615173
14,-0.7977108568229648,-0.8370124697685242,0.18820645985094503,0.15034539997577667,-0.985917316684546,-0.9873578548431396,0.02839760198327663,0.0262603759765625,6311.40576171875,0.6531448456153625,40.78514361381531
15,-0.7990844585400322,-0.8315880298614502,0.18741566390543643,0.15513214468955994,-0.9865001223922882,-0.9867202043533325,0.027536010333761667,0.026208162307739258,6311.40576171875,0.6333282376765184,39.572502851486206
16,-0.7990725504169287,-0.838455319404602,0.18794710686341257,0.1496676504611969,-0.9870196569825308,-0.9881229400634766,0.027581411119361677,0.026220083236694336,6311.40576171875,0.6343724557453185,39.6365532875061
17,-0.8013342740619123,-0.8377787470817566,0.1860802357512487,0.15065282583236694,-0.9874145092494483,-0.9884315729141235,0.027632713828403384,0.02620673179626465,6317.11962890625,0.6355524180532778,39.70971989631653
18,-0.802671080398015,-0.8359707593917847,0.1853084538576009,0.15270623564720154,-0.9879795340535302,-0.9886770248413086,0.027828635869921316,0.026190996170043945,6317.11962890625,0.6400586250081903,39.991482734680176
19,-0.803614745899067,-0.8420968055725098,0.18463251123910798,0.14708997309207916,-0.9882472563776946,-0.9891867637634277,0.027635397696648217,0.0262298583984375,6317.11962890625,0.635614147022909,39.70739126205444
20,-0.8045346454838869,-0.8378102779388428,0.18405496070612165,0.151884064078331,-0.9885896063548679,-0.989694356918335,0.02754546709353374,0.02616572380065918,6317.11962890625,0.633545743151276,39.58316087722778
21,-0.8050450305697069,-0.8384625315666199,0.18377647166546543,0.1511581391096115,-0.9888215018203648,-0.9896206855773926,0.027563642553564992,0.026243209838867188,6317.11962890625,0.6339637787319948,39.615142583847046
22,-0.8059200752981215,-0.8413764834403992,0.18320207576467512,0.14899848401546478,-0.9891221504139951,-0.9903749823570251,0.0276003971344909,0.02616119384765625,6317.11962890625,0.6348091340932907,39.665093183517456
23,-0.8041766562860069,-0.8397397994995117,0.18501118931129606,0.15023623406887054,-0.9891878453260826,-0.9899760484695435,0.027578270154540493,0.02633190155029297,6317.11962890625,0.6343002135544313,39.63300061225891
24,-0.8072253195070352,-0.8433502912521362,0.18229368815649244,0.14684365689754486,-0.989519007456124,-0.9901939630508423,0.027607245244442098,0.026182174682617188,6317.11962890625,0.6349666406221682,39.680896282196045
