epoch,loss_avg,loss_value,reconstruction_loss_avg,reconstruction_loss_val,distillation_loss_avg,distillation_loss_val,batch_time_avg,batch_time_val,memory_used,grad_norm_avg,grad_norm_val,learning_rate,epoch_time
0,-0.5225559091146489,-0.6723159551620483,0.3942764340120712,0.28860723972320557,-0.9168323431574462,-0.9609231948852539,0.15212879505932178,0.15523099899291992,6650.1953125,nan,3.006155490875244,5.208057044122803e-06,3037.601793527603
1,-0.6806651530079773,-0.6913136839866638,0.2822698076347646,0.2778441309928894,-0.962934960885286,-0.9691578149795532,0.15411419564460774,0.15354561805725098,6746.19970703125,nan,4.311882972717285,1.0183057044122802e-05,3077.235764980316
2,-0.6987317513110862,-0.6998926401138306,0.2695424310605921,0.2730570137500763,-0.9682741827269121,-0.9729496240615845,0.15404520066074492,0.14917826652526855,6763.6875,nan,1.5147333145141602,1.5158057044122802e-05,3075.8621892929077
3,-0.7104771809733886,-0.6738158464431763,0.26207880577506376,0.30312278866767883,-0.9725559867484525,-0.9769386649131775,0.15518006087006223,0.14874601364135742,6763.6875,nan,0.8122521638870239,2.01330570441228e-05,3098.522516489029
4,-0.7181727963784201,-0.6975637078285217,0.25779968752010013,0.2808077335357666,-0.9759724838843408,-0.9783714413642883,0.1550360170740653,0.15065813064575195,6764.62890625,nan,1.039926528930664,2.5108057044122804e-05,3095.6469373703003
5,-0.7264589914491313,-0.7095679044723511,0.25247753588887134,0.27109917998313904,-0.978936527552934,-0.9806670546531677,0.15372019586168115,0.14730501174926758,6774.0,nan,0.5797606110572815,3.0083057044122802e-05,3069.3727056980133
6,-0.7335816954177711,-0.7221742868423462,0.24778939594388777,0.2587110698223114,-0.981371091400466,-0.98088538646698,0.15405448840593083,0.1616344451904297,6774.0,nan,0.46460235118865967,3.5058057044122805e-05,3076.0486147403717
7,-0.739077745665115,-0.7777847051620483,0.2440859261492899,0.20692473649978638,-0.9831636717748515,-0.9847094416618347,0.1545915147027966,0.14896440505981445,6774.0,nan,0.5537623763084412,4.0033057044122804e-05,3086.771588563919
8,-0.7435236918512497,-0.7940976619720459,0.24101002480555422,0.19066499173641205,-0.9845337166762074,-0.9847626686096191,0.1541645659665803,0.14885497093200684,6774.0,nan,0.5590400099754333,4.50080570441228e-05,3078.245966911316
9,-0.7475275136875558,-0.7508253455162048,0.2381637906606694,0.23673015832901,-0.9856913044825573,-0.9875555038452148,0.15402888492284852,0.14990830421447754,6774.0,nan,0.59650719165802,4.99830570441228e-05,3075.536199092865
10,-0.7511894600938388,-0.7731548547744751,0.235515740980531,0.2137855589389801,-0.9867052010609366,-0.9869403839111328,0.15447452320634392,0.15059590339660645,6774.0,nan,0.599299967288971,4.859677887756349e-05,3084.4343287944794
11,-0.7541997145655971,-0.7395153641700745,0.2333423069706186,0.24809522926807404,-0.9875420214847218,-0.9876105785369873,0.15389038920969708,0.1493983268737793,6774.0,nan,0.5123707056045532,4.8333126828534253e-05,3072.7720029354095
12,-0.7566574830592661,-0.7631912231445312,0.2315515993745002,0.22421212494373322,-0.9882090825546652,-0.9874033331871033,0.1539037313006127,0.1503901481628418,6774.0,nan,0.4556896984577179,4.804768139945346e-05,3073.038911819458
13,-0.7588017887498868,-0.756037712097168,0.2299585958394528,0.23332573473453522,-0.9887603847057608,-0.989363431930542,0.15468959607269384,0.16196608543395996,6774.0,nan,0.6461856365203857,4.774072429049738e-05,3088.7309074401855
14,-0.760613855926587,-0.7501709461212158,0.2286069428420135,0.23926839232444763,-0.9892207987171066,-0.9894393682479858,0.15454953852500808,0.15984249114990234,6774.0,nan,1.0210258960723877,4.741255843127315e-05,3085.93092417717
15,-0.7621744379931819,-0.7719655632972717,0.2274425268410538,0.21813033521175385,-0.9896169647663233,-0.9900959134101868,0.15476177408250194,0.16441655158996582,6774.0,nan,0.2865281105041504,4.706350768186391e-05,3090.17107796669
16,-0.7635751074129539,-0.7941955924034119,0.22638067092947808,0.1964094489812851,-0.9899557781827261,-0.9906050562858582,0.15457995034496433,0.14896392822265625,6774.0,nan,0.3345811069011688,4.6693916513217894e-05,3086.5394806861877
17,-0.7647773870488296,-0.7603921890258789,0.22547685907687315,0.22992101311683655,-0.9902542461413748,-0.9903131723403931,0.15363351304201417,0.14838933944702148,6774.0,nan,0.47971242666244507,4.630414966719729e-05,3067.642491340637
18,-0.7657649660466305,-0.7703108191490173,0.22475793325304597,0.22049258649349213,-0.9905228992817655,-0.9908034205436707,0.1489395759744148,0.14032196998596191,6774.0,nan,0.30944883823394775,4.589459179662199e-05,2973.919351577759
19,-0.7667038370762099,-0.7315959930419922,0.2240502091433711,0.2597412168979645,-0.9907540460315161,-0.9913371801376343,0.14924717731574222,0.14867448806762695,6774.0,nan,0.38749727606773376,4.546564708566374e-05,2980.062690258026
