epoch,loss_avg,loss_value,reconstruction_loss_avg,reconstruction_loss_val,distillation_loss_avg,distillation_loss_val,batch_time_avg,batch_time_val,memory_used,epoch_time
0,-0.7198399442779997,-0.7546643018722534,0.23587692386236678,0.201955646276474,-0.9557168680460885,-0.956619918346405,0.20105582743548275,0.14320063591003418,17806.20361328125,71.57624197006226
1,-0.7429463597299345,-0.7756260633468628,0.2200853189600792,0.18697506189346313,-0.9630316781871977,-0.9626011252403259,0.19697245855009957,0.1210181713104248,17869.94677734375,70.12257790565491
2,-0.7556454715913126,-0.7855945825576782,0.2121311873616569,0.18186967074871063,-0.9677766583925391,-0.96746426820755,0.19615928175744046,0.11889529228210449,17871.64892578125,69.83307123184204
3,-0.7620623338830073,-0.794884204864502,0.21016391692241174,0.17842687666416168,-0.9722262510306386,-0.9733110666275024,0.1963700685608253,0.11889243125915527,17871.64892578125,69.90814018249512
4,-0.774110809424221,-0.8061490654945374,0.2020401027636285,0.17216993868350983,-0.9761509116169439,-0.978318989276886,0.19648676307013865,0.11876535415649414,17874.88427734375,69.94966435432434
5,-0.7796234114517856,-0.8093692064285278,0.1989193238985769,0.17031031847000122,-0.978542736062685,-0.979679524898529,0.19683645481473944,0.11921930313110352,17877.63427734375,70.07417297363281
6,-0.7853804027259036,-0.8157840967178345,0.19595166741230366,0.16719487309455872,-0.9813320704419919,-0.9829789996147156,0.19105707929375465,0.11263871192932129,17877.63427734375,68.01674628257751
7,-0.7888359769576463,-0.8144385814666748,0.1941742181777954,0.16994500160217285,-0.9830101940041057,-0.9843835830688477,0.19645975145061365,0.11913561820983887,17877.63427734375,69.94005990028381
8,-0.7931242822553236,-0.8208843469619751,0.19126068608203545,0.16494980454444885,-0.9843849698353316,-0.9858341217041016,0.19642237130175816,0.11763763427734375,17877.63427734375,69.92673516273499
9,-0.7964740637735659,-0.8227952122688293,0.18939510460268635,0.1644822359085083,-0.9858691692142788,-0.9872774481773376,0.19104865025938228,0.12961983680725098,17791.5185546875,68.01371145248413
10,-0.7998524327898276,-0.8259186148643494,0.18720948907214435,0.16178058087825775,-0.9870619218881603,-0.9876992106437683,0.1787256719021315,0.11393284797668457,17858.357421875,63.626736879348755
11,-0.802092434735625,-0.8265825510025024,0.18604880833772447,0.1622898131608963,-0.9881412444299051,-0.9888723492622375,0.191573355974776,0.09856414794921875,17872.87109375,68.20055031776428
12,-0.8039931956829212,-0.8289005756378174,0.18470273023644734,0.1609942764043808,-0.9886959282082288,-0.9898948669433594,0.17718567540136615,0.10853695869445801,17873.55615234375,63.07850217819214
13,-0.8062263858758293,-0.8273786306381226,0.18306371575918684,0.1625249683856964,-0.9892901001370435,-0.9899036288261414,0.18266059106655336,0.1073615550994873,17875.74658203125,65.02757120132446
14,-0.8076512847298688,-0.8304772973060608,0.18210199616705386,0.15980011224746704,-0.9897532813787879,-0.9902774095535278,0.192099983772535,0.10792279243469238,17875.74658203125,68.38805294036865
15,-0.8086172869209665,-0.8333373665809631,0.1817652435262928,0.15731610357761383,-0.990382529792551,-0.9906534552574158,0.1907558012544439,0.12006783485412598,17875.74658203125,67.9094786643982
15,-0.8087562080426878,-0.8343096971511841,0.181672224695737,0.15705285966396332,-0.9904284326389091,-0.9913625717163086,0.1837321472971627,0.1328897476196289,17792.69091796875,65.40902948379517
16,-0.8105940374422995,-0.8344976305961609,0.18007559960148248,0.15666066110134125,-0.990669637845145,-0.9911583065986633,0.17774452520220468,0.10692858695983887,17872.68212890625,63.27743577957153
17,-0.8117582147695478,-0.8363101482391357,0.17928757958755762,0.15560507774353027,-0.9910457947970693,-0.991915225982666,0.18115935432776975,0.10889649391174316,17872.68212890625,64.49311852455139
18,-0.8121443938915675,-0.8341322541236877,0.17916012506388612,0.15750516951084137,-0.9913045197463413,-0.9916374087333679,0.17666233322593602,0.10268020629882812,17872.68212890625,62.892200231552124
19,-0.8132837241060495,-0.8352000713348389,0.1782633614194414,0.1568281501531601,-0.9915470852374193,-0.9920282363891602,0.17681520641519782,0.10810351371765137,17881.740234375,62.94661474227905
20,-0.8137823605160303,-0.835252046585083,0.17791665735374645,0.1570449322462082,-0.9916990166389251,-0.9922969937324524,0.1793760737676299,0.1082146167755127,17881.740234375,63.85829210281372
21,-0.814393570573971,-0.8383370041847229,0.1775375892229784,0.1545039266347885,-0.9919311598650391,-0.9928409457206726,0.17825059073694635,0.10701537132263184,17881.740234375,63.45761013031006
22,-0.8151331422199055,-0.8352189064025879,0.17680925983012455,0.15685240924358368,-0.991942401657205,-0.9920713305473328,0.17669362834330354,0.10862517356872559,17881.740234375,62.90336084365845
23,-0.814919996240646,-0.8360490202903748,0.17724600296552653,0.15570168197155,-0.992165997912469,-0.9917507171630859,0.18124842040994193,0.10878396034240723,17881.740234375,64.52486896514893
24,-0.8165959807397611,-0.8385429382324219,0.17591834576875756,0.15411947667598724,-0.9925143267023123,-0.9926624298095703,0.1824244676011332,0.1095576286315918,17881.740234375,64.94351696968079
25,-0.81644457388008,-0.8379309177398682,0.17610173498809023,0.1548422873020172,-0.9925463086900895,-0.992773175239563,0.17834270536229851,0.10825991630554199,17881.740234375,63.490394830703735
26,-0.81731190287585,-0.8376960754394531,0.175364278149521,0.15530739724636078,-0.9926761820362406,-0.9930034875869751,0.18211886387192802,0.10241246223449707,17881.740234375,64.83468651771545
27,-0.8173963807798228,-0.8399728536605835,0.1753908549126087,0.1525423526763916,-0.9927872371589781,-0.9925152063369751,0.1808819127886483,0.1107490062713623,17881.740234375,64.3943727016449
