epoch,train_loss_track
0,-0.5515624440360536
1,-0.72228110851532
2,-0.7472553808025099
3,-0.7597519290663958
4,-0.7697665137897635
5,-0.778670896103847
6,-0.7856723491917592
7,-0.7913808963143211
8,-0.79628948477384799
9,-0.8008022125837064
10,-0.8049203964790692
11,-0.8083321132519968
12,-0.8113240289713186
13,-0.813944164365224
14,-0.8160511952507578
15,-0.8177948228650311
16,-0.819323204888742
17,-0.8207142325176487
18,-0.8219226856239331
19,-0.8229200362908426
20,-0.8238166672964808
21,-0.8246852151111829
22,-0.8254161582554551
23,-0.8261441261288208
24,-0.8268135095141758
25,-0.8274592407663064
26,-0.8279879702321457
27,-0.8285119460372602
28,-0.8289723709862239
29,-0.8294504406354624
30,-0.8298720986571937
31,-0.830276069165518
32,-0.8306649363279139
33,-0.8310511600077466
34,-0.8314232575778175
35,-0.8317569346541831
36,-0.8320844001366904
37,-0.8323933905166958
38,-0.8326817436145901
39,-0.8329726511477923
40,-0.8332164034515316
41,-0.8334773438876086
42,-0.833720180637496
43,-0.8339934995197453
44,-0.8342101316504088
45,-0.8343826145009822
46,-0.834620953662947
47,-0.8348654183566723
48,-0.8350347154080888
49,-0.8352505450925275
50,-0.8354048542549621
51,-0.8356008243535715
52,-0.8358045765405163
53,-0.8359522231472818
54,-0.8360969464756333
55,-0.8362716680213793
56,-0.8364530034796491
57,-0.8365935433482279
58,-0.836746499019243
59,-0.8369028044014418
60,-0.8370349638695028
61,-0.8371699550999968
62,-0.8372985026853949
63,-0.8374301458166903
64,-0.8375401806298808
65,-0.8376898724338936
66,-0.8378221623593186
67,-0.8378735182609736
68,-0.838028974765804
69,-0.8381293910872855
70,-0.8382383249474317
71,-0.8383509942727866
72,-0.8384473637323289
73,-0.8385346140364542
74,-0.8386384387871724
75,-0.838693380185681
76,-0.8387870678183085
77,-0.8388645444622251
78,-0.838950721363327
79,-0.839046045919147
80,-0.8391035184836587
81,-0.8391944110175608
82,-0.8392761476577095
83,-0.8393122379790682
84,-0.8393744665476534
85,-0.8394425473985994
86,-0.8394925074703424
87,-0.8395552229987558
88,-0.8395915094360231
89,-0.8396500475764747
90,-0.839709739307257
91,-0.8397164981193378
92,-0.8397662778427756
93,-0.8397730074749393
94,-0.839847496429693
95,-0.8398655479621916
96,-0.8398828963288417
97,-0.8399007297746706
98,-0.8399327778372032
99,-0.8399393739343054
