epoch,loss_avg,loss_value,reconstruction_loss_avg,reconstruction_loss_val,distillation_loss_avg,distillation_loss_val,batch_time_avg,batch_time_val,memory_used,epoch_time
0,-0.7117949908563248,-0.7444483041763306,0.23731101637146385,0.206910640001297,-0.9491060070706587,-0.95135897397995,0.09996817687923988,0.07300901412963867,6862.29248046875,35.58906579017639
1,-0.7263780100483886,-0.7572899460792542,0.22698281997117511,0.19917595386505127,-0.9533608295586491,-0.9564658999443054,0.09628819280795836,0.05533909797668457,6967.3603515625,34.27896022796631
2,-0.736343853083981,-0.777249813079834,0.22030532164188177,0.18356791138648987,-0.9566491756162661,-0.9608177542686462,0.09682304738612657,0.054921865463256836,6967.66015625,34.46939277648926
3,-0.7437471346402629,-0.7762024998664856,0.2159058104657121,0.18691013753414154,-0.9596529466406113,-0.9631126523017883,0.10763158557120334,0.0564424991607666,6970.38916015625,38.317259311676025
4,-0.7520850312940266,-0.7869729399681091,0.20960534925724794,0.17852751910686493,-0.9616903793204229,-0.9655004739761353,0.09639905945638592,0.0565793514251709,6970.38916015625,34.318448305130005
5,-0.756901249189997,-0.7914402484893799,0.2062141925672655,0.17394083738327026,-0.9631154421343745,-0.9653810858726501,0.10719017366345009,0.05716276168823242,6978.79150390625,38.16013050079346
6,-0.7611902842831737,-0.790050745010376,0.2032169946415353,0.17838941514492035,-0.964407281297372,-0.9684401750564575,0.10722157928381074,0.05578327178955078,6978.79150390625,38.17133378982544
7,-0.7642680059836913,-0.7927760481834412,0.2013247756683554,0.17793752253055573,-0.9655927811230424,-0.9707135558128357,0.10679914308397957,0.055203914642333984,6978.79150390625,38.020896911621094
8,-0.7674960171610693,-0.8006792068481445,0.19903318430501674,0.17033401131629944,-0.9665292007851894,-0.9710131883621216,0.10697597131300508,0.055786848068237305,6978.79150390625,38.08385348320007
9,-0.7703188778017444,-0.7977368831634521,0.1970639862473694,0.17366448044776917,-0.9673828641014903,-0.9714013934135437,0.10721122414878245,0.05677032470703125,6978.79150390625,38.16764187812805
10,-0.7716610376151878,-0.8001479506492615,0.1958646060869438,0.17242930829524994,-0.9675256445663466,-0.9725772738456726,0.10731466633550237,0.05581545829772949,6978.79150390625,38.20441555976868
11,-0.7740701891206899,-0.8035463094711304,0.1941096701710002,0.1689353883266449,-0.9681798593650174,-0.9724816679954529,0.10703897543167801,0.05599164962768555,6978.79150390625,38.106252670288086
12,-0.7768830006068117,-0.8063502311706543,0.19283145079503788,0.1680404543876648,-0.9697144518208629,-0.9743906855583191,0.10685087723678417,0.061980485916137695,6978.79150390625,38.039337158203125
13,-0.7765861856078431,-0.8102558851242065,0.1931718915020016,0.16424474120140076,-0.9697580758842307,-0.9745005965232849,0.10732760657085462,0.05620384216308594,6978.79150390625,38.209044218063354
14,-0.7788238885323067,-0.8099039793014526,0.19147755470133415,0.16521939635276794,-0.9703014453182321,-0.9751233458518982,0.10694098405623703,0.05523562431335449,6978.79150390625,38.07140135765076
15,-0.7793332671239213,-0.8035919070243835,0.19150308083566087,0.17132675647735596,-0.9708363486300035,-0.9749186635017395,0.10743964923901504,0.05660557746887207,6978.79150390625,38.24893260002136
16,-0.7806794805560254,-0.8100639581680298,0.19025800190931463,0.1658385545015335,-0.9709374825648558,-0.9759024977684021,0.09680934233611889,0.055249691009521484,6978.79150390625,34.464548110961914
17,-0.7815572733200288,-0.8083556890487671,0.1896718032173616,0.16641582548618317,-0.9712290772235247,-0.9747714996337891,0.09625176298484374,0.05546450614929199,6978.79150390625,34.26605749130249
