epoch,train_loss_track
0,-0.5217330433749565
1,-0.6733686222468642
2,-0.6902585603110557
3,-0.7003652384137035
4,-0.706925559701813
5,-0.7140243544942503
6,-0.7204037396396866
7,-0.7254864913726979
8,-0.7295486661413134
9,-0.7331899793700772
10,-0.7366145574563541
11,-0.7394545845403426
12,-0.7417828347857645
13,-0.7438152264317627
14,-0.7455731013920094
15,-0.747156027707649
16,-0.7485880210533721
17,-0.7498031572651516
18,-0.7508983932188864
19,-0.7517605720831096
20,-0.7527274137661634
21,-0.7535290839514831
22,-0.7543361061395615
23,-0.7549845364638631
24,-0.7556664143135463
25,-0.7563249564626969
26,-0.7568992430299166
27,-0.7574228674909197
28,-0.7580164918383939
29,-0.7585346877512232
30,-0.7590074187622542
31,-0.7594722589505789
32,-0.7598912213927738
33,-0.7602530126430278
34,-0.7606313609990931
35,-0.7610231691896513
36,-0.761359692849758
37,-0.7617117639159191
38,-0.7620661377894858
39,-0.7624194331912313
40,-0.7626976386602947
41,-0.7630200794237834
42,-0.7633208140336071
43,-0.7635759747654637
44,-0.7639144665341041
45,-0.7641540620862772
46,-0.7643818012217393
47,-0.7646719309511938
48,-0.7649369503366706
49,-0.7651833800701874
50,-0.7653765196541598
51,-0.7656316609586098
52,-0.7657991991192588
53,-0.7660586083992676
54,-0.7662221610877464
55,-0.7664769724068885
56,-0.7667352182753976
57,-0.7668799286242831
58,-0.7670708582541816
59,-0.7672030685296276
60,-0.7674242932030965
61,-0.767613953200627
62,-0.7677852166202302
63,-0.7679618242961079
64,-0.7681636015832851
65,-0.7682707146763139
66,-0.7684059554868917
67,-0.768579682303447
68,-0.7687194090658025
69,-0.7688365302703446
70,-0.7690188369049106
71,-0.7691340790631005
72,-0.7692870385103402
73,-0.7693930166165412
74,-0.7695430839026512
75,-0.7696850944121802
76,-0.7697495399648858
77,-0.7698552737777172
78,-0.7700398852764626
79,-0.7700841379415209
80,-0.7702040991743977
81,-0.7702715639843093
82,-0.770361193978578
83,-0.7704376017240743
84,-0.770558872856112
85,-0.7706238191152972
86,-0.7706914608973008
87,-0.7707665811979927
88,-0.7708599630012088
89,-0.7708989845235902
90,-0.7708971304301716
91,-0.7710454014662648
92,-0.7710079036400422
93,-0.7710810865494737
94,-0.7710992214335469
95,-0.7711745245035072
96,-0.7712270039379396
97,-0.7711941658563939
98,-0.7712459904427413
99,-0.7712612554976499
