epoch,loss_avg,loss_value,reconstruction_loss_avg,reconstruction_loss_val,distillation_loss_avg,distillation_loss_val,batch_time_avg,batch_time_val,memory_used,grad_norm_avg,grad_norm_val,learning_rate,epoch_time
0,-0.5217330433749565,-0.6712071895599365,0.393208741585738,0.28191766142845154,-0.9149417848787893,-0.9531248807907104,0.16906372343896237,0.15247488021850586,6862.29248046875,nan,8.40477466583252,2.6040285220614013e-06,3375.7394313812256
1,-0.6733686222468642,-0.6797748804092407,0.2824867257875715,0.27702000737190247,-0.9558553479224923,-0.9567949175834656,0.16188134203546065,0.16774797439575195,6967.3603515625,nan,0.8889000415802002,5.091528522061401e-06,3232.318858861923
2,-0.6902585603110557,-0.6833622455596924,0.2695433594782351,0.2771300971508026,-0.9598019199049658,-0.9604923725128174,0.16177333236522773,0.1549825668334961,6967.66015625,nan,1.718327283859253,7.579028522061401e-06,3230.1609256267548
3,-0.7003652384137035,-0.6664248108863831,0.26242186908891,0.2995356321334839,-0.9627871078429215,-0.9659604430198669,0.16184034635064573,0.15586614608764648,6970.38916015625,nan,1.7723793983459473,1.00665285220614e-05,3231.50105881691
4,-0.706925559701813,-0.6830548048019409,0.258375795998499,0.28345000743865967,-0.9653013558644957,-0.9665048122406006,0.1619255315524919,0.15687799453735352,6970.38916015625,nan,0.9236376285552979,1.2554028522061402e-05,3233.2024223804474
5,-0.7140243544942503,-0.7001475095748901,0.2534643893493054,0.2693163752555847,-0.9674887437666878,-0.9694638848304749,0.16168414161901074,0.15248417854309082,6978.79150390625,nan,1.7043746709823608,1.5041528522061401e-05,3228.383996963501
6,-0.7204037396396866,-0.7009444236755371,0.2488449905326085,0.2682304084300995,-0.9692487301439362,-0.969174861907959,0.16156194657467934,0.15491271018981934,6978.79150390625,nan,0.8734735250473022,1.7529028522061402e-05,3225.945597410202
7,-0.7254864913726979,-0.756140947341919,0.24518717889369754,0.2154860496520996,-0.9706736702783361,-0.9716269969940186,0.1616230674646599,0.15468192100524902,6978.79150390625,nan,0.8515509366989136,2.0016528522061402e-05,3227.1640434265137
8,-0.7295486661413134,-0.7751356363296509,0.24228315410305587,0.1928427815437317,-0.9718318201630237,-0.9679784178733826,0.1617906838931599,0.1608736515045166,6978.79150390625,nan,0.5179571509361267,2.25040285220614e-05,3230.513483285904
9,-0.7331899793700772,-0.7425848245620728,0.23957216013067145,0.2279466688632965,-0.9727621396141847,-0.9705314636230469,0.16197313679448533,0.15548062324523926,6978.79150390625,nan,0.5381022691726685,2.49915285220614e-05,3234.156371116638
10,-0.7366145574563541,-0.7584786415100098,0.23704201171112424,0.21623563766479492,-0.9736565692809143,-0.9747142791748047,0.161942160600605,0.15715861320495605,6978.79150390625,nan,0.4589129388332367,2.4298389438781746e-05,3233.535709619522
11,-0.7394545845403426,-0.7327383756637573,0.23496630627397197,0.2453148514032364,-0.9744208910023795,-0.9780532121658325,0.1618547961858395,0.14589715003967285,6978.79150390625,nan,0.9470531344413757,2.4166563414267127e-05,3231.7889432907104
12,-0.7417828347857645,-0.750598669052124,0.23325458176446354,0.22687411308288574,-0.9750374165994831,-0.9774727821350098,0.1617079272723708,0.15354442596435547,6978.79150390625,nan,0.3473135530948639,2.402384069972673e-05,3228.8582723140717
13,-0.7438152264317627,-0.73631751537323,0.23174931487842715,0.23569785058498383,-0.9755645413340711,-0.972015380859375,0.16138957241369953,0.15316462516784668,6978.79150390625,nan,0.5080899596214294,2.387036214524869e-05,3222.5014214515686
14,-0.7455731013920094,-0.7394806742668152,0.23043503047749248,0.24121533334255219,-0.9760081321187625,-0.9806960225105286,0.16169527519469853,0.15367698669433594,6978.79150390625,nan,0.40240126848220825,2.3706279215636577e-05,3228.605353116989
15,-0.747156027707649,-0.7646369338035583,0.22923355153555408,0.21389074623584747,-0.9763895792596214,-0.9785276651382446,0.1616469118539838,0.15491318702697754,6978.79150390625,nan,0.4190351665019989,2.3531753840931954e-05,3227.6409385204315
16,-0.7485880210533721,-0.7840536236763,0.22816527302349826,0.19514423608779907,-0.9767532941723954,-0.9791978597640991,0.16112836460301327,0.15717124938964844,6978.79150390625,nan,0.32133176922798157,2.3346958256608947e-05,3217.2857089042664
17,-0.7498031572651516,-0.7512080669403076,0.22724283531792516,0.22990331053733826,-0.977045992839054,-0.9811114072799683,0.16109573963486437,0.1558835506439209,6978.79150390625,nan,0.27933570742607117,2.3152074833598646e-05,3216.634920358658
18,-0.7508983932188864,-0.7568734884262085,0.22642379527281956,0.22442708909511566,-0.9773221883536424,-0.9813005924224854,0.16148297286519614,0.15744757652282715,6978.79150390625,nan,0.3276258111000061,2.2947295898310996e-05,3224.368010044098
19,-0.7517605720831096,-0.7193483114242554,0.22579811677234451,0.25930044054985046,-0.9775586891121778,-0.9786487817764282,0.16131027069508286,0.1550297737121582,6978.79150390625,nan,0.32223671674728394,2.273282354283187e-05,3220.918027639389
20,-0.7527274137661634,-0.7694326043128967,0.22508574849454607,0.20452998578548431,-0.9778131622786204,-0.9739626049995422,0.16158959566696074,0.15758967399597168,6978.79150390625,nan,0.3408629894256592,2.250886942548256e-05,3226.4967279434204
21,-0.7535290839514831,-0.7187524437904358,0.22448344031198542,0.25601065158843994,-0.9780125241821229,-0.9747630953788757,0.16118818353435252,0.15508008003234863,6978.79150390625,nan,0.4713827669620514,2.2275654561938586e-05,3218.482132434845
22,-0.7543361061395615,-0.7798136472702026,0.22389851023421634,0.2012428343296051,-0.9782346165693057,-0.9810564517974854,0.16140390825168918,0.1554124355316162,6978.79150390625,nan,0.7197369337081909,2.2033409107113895e-05,3222.788919210434
23,-0.7549845364638631,-0.7525340914726257,0.2234230117050786,0.22202271223068237,-0.9784075480801333,-0.9745568037033081,0.16160551730433112,0.1573014259338379,6978.79150390625,nan,0.36856186389923096,2.1782372128025747e-05,3226.8112683296204
24,-0.7556664143135463,-0.7635554075241089,0.2229086770460352,0.21641197800636292,-0.978575091306595,-0.9799673557281494,0.16150020395992407,0.15383052825927734,6978.79150390625,nan,1.0307567119598389,2.152279136786444e-05,3224.7113511562347
