epoch,train_loss,val_loss_avg,val_loss_temp,val_loss_spa,val_loss_temp_spa
0,-0.5217330433749565,-0.6972415808414721,-0.7095605166246407,-0.6703692350434509,-0.7117949908563248
1,-0.6733686222468642,-0.713937761139074,-0.725240016804305,-0.6901952565645284,-0.7263780100483886
2,-0.6902585603110557,-0.7254186338134109,-0.7350516786501375,-0.7048603697061141,-0.736343853083981
3,-0.7003652384137035,-0.7334675556484219,-0.742682565839842,-0.7139729664651608,-0.7437471346402629
4,-0.706925559701813,-0.7420838445527856,-0.7507974540022513,-0.7233690483620793,-0.7520850312940266
5,-0.7140243544942503,-0.7478418574648543,-0.7560714262773998,-0.730552896927166,-0.756901249189997
6,-0.7204037396396866,-0.75259663984365,-0.7600121067103185,-0.7365875285374573,-0.7611902842831737
7,-0.7254864913726979,-0.7559489250795558,-0.7632218958323526,-0.7403568734226235,-0.7642680059836913
8,-0.7295486661413134,-0.759474445451873,-0.7662591942754251,-0.7446681249191244,-0.7674960171610693
9,-0.7331899793700772,-0.762601666452066,-0.7693609057127632,-0.7481252158416903,-0.7703188778017444
10,-0.7366145574563541,-0.7643105283923829,-0.770710788251759,-0.7505597593102022,-0.7716610376151878
11,-0.7394545845403426,-0.7667480904204561,-0.772832916981221,-0.7533411651594575,-0.7740701891206899
12,-0.7417828347857645,-0.7694985744981295,-0.775503046155882,-0.7561096767316952,-0.7768830006068117
13,-0.7438152264317627,-0.7697391866684532,-0.7757551807172073,-0.7568761936803091,-0.7765861856078431
14,-0.7455731013920094,-0.7719130490952407,-0.7777814920864273,-0.759133766666988,-0.7788238885323067
15,-0.747156027707649,-0.7726736879278319,-0.7784877793248377,-0.760200017334737,-0.7793332671239213
16,-0.7485880210533721,-0.7739693094991905,-0.7795772265827468,-0.7616512213587995,-0.7806794805560254
17,-0.7498031572651516,-0.7749195633166662,-0.7804345373206427,-0.762766879309327,-0.7815572733200288
18,-0.7508983932188864,-0.775271287129589,-0.780779619574867,-0.7631540216872972,-0.7818802201266029
19,-0.7517605720831096,-0.7758383019271887,-0.7812355477454774,-0.7640619190064155,-0.7822174390296734
20,-0.7527274137661634,-0.7764616844593473,-0.7818011119057614,-0.7649031106257186,-0.7826808308465619
21,-0.7535290839514831,-0.7774156909537348,-0.7826194695327431,-0.7661286907292026,-0.7834989125992585
